Start,End,Price_SEK_per_kWh
2025-08-28T22:00Z,2025-08-28T23:00Z,0.76,
2025-08-28T23:00Z,2025-08-29T00:00Z,0.88,
2025-08-29T00:00Z,2025-08-29T01:00Z,0.87,
2025-08-29T01:00Z,2025-08-29T02:00Z,0.7,
2025-08-29T02:00Z,2025-08-29T03:00Z,0.78,
2025-08-29T03:00Z,2025-08-29T04:00Z,0.98,
2025-08-29T04:00Z,2025-08-29T05:00Z,1.19,
2025-08-29T05:00Z,2025-08-29T06:00Z,1.26,
2025-08-29T06:00Z,2025-08-29T07:00Z,1.26,
2025-08-29T07:00Z,2025-08-29T08:00Z,1.2,
2025-08-29T08:00Z,2025-08-29T09:00Z,1.04,
2025-08-29T09:00Z,2025-08-29T10:00Z,1.03,
2025-08-29T10:00Z,2025-08-29T11:00Z,0.97,
2025-08-29T11:00Z,2025-08-29T12:00Z,0.78,
2025-08-29T12:00Z,2025-08-29T13:00Z,0.84,
2025-08-29T13:00Z,2025-08-29T14:00Z,1.01,
2025-08-29T14:00Z,2025-08-29T15:00Z,1.06,
2025-08-29T15:00Z,2025-08-29T16:00Z,0.82,
2025-08-29T16:00Z,2025-08-29T17:00Z,0.85,
2025-08-29T17:00Z,2025-08-29T18:00Z,0.62,
2025-08-29T18:00Z,2025-08-29T19:00Z,0.46,
2025-08-29T19:00Z,2025-08-29T20:00Z,0.34,
2025-08-29T20:00Z,2025-08-29T21:00Z,0.19,
2025-08-29T21:00Z,2025-08-29T22:00Z,0.15,
